CountyName	PrecinctName	Amend #2 Yes	Amend #2 No	Amend #3 Yes	Amend #3 No	Amend #6 Yes	Amend #6 No	Amend #7 Yes	Amend #7 No	Prop B Yes	Prop B No
AUDRAIN	14 - MEXICO - 4	146	201	155	190	214	115	263	68	233	110
AUDRAIN	15 - MEXICO - 5	207	287	227	269	299	176	403	81	385	115
AUDRAIN	16 - MEXICO - 6	390	452	381	457	502	307	684	132	547	290
AUDRAIN	17 - ABSENTEE	236	238	250	213	281	162	386	69	330	133
BARRY	ABSENTEE	331	360	338	349	421	231	580	84	503	179
BARRY	ASH	97	136	77	156	136	75	172	46	189	42
BARRY	BUTTER	92	206	107	191	166	117	235	51	214	78
BARRY	CAPPS	72	116	81	106	114	69	159	26	123	65
BARRY	CASSVILLE-CITY	358	625	438	541	587	354	813	143	745	223
BARRY	CASSVILLE-RURALMINERALMcDNLD	402	706	461	638	614	447	910	166	768	326
BARRY	CRANE	126	158	102	182	147	126	238	38	227	57
BARRY	EXETER	162	386	162	388	299	226	409	123	391	149
BARRY	GOLDEN	252	221	203	267	283	153	399	50	370	99
BARRY	JENK	116	153	105	165	147	103	213	41	183	80
BARRY	KING	169	314	201	281	258	203	399	71	319	159
BARRY	MONETT	590	921	743	766	934	513	1307	149	1071	425
BARRY	OZARK	125	197	114	206	178	124	265	44	227	91
BARRY	PURDY	213	608	316	505	443	318	601	171	520	283
BARRY	ROAR	267	208	218	258	282	165	412	44	386	85
BARRY	Seligman	194	197	143	244	245	136	336	41	354	38
BARRY	SHELL	490	526	421	594	579	406	879	115	782	232
BARRY	WASH	129	224	123	223	185	145	253	75	240	103
BARRY	WHEAT	187	363	186	361	306	226	419	121	412	138
BARTON	ABSENTEE	109	145	131	121	155	87	225	22	164	88
BARTON	BARTON CITY	36	157	62	130	91	93	157	25	116	76
BARTON	CENTRAL	61	195	104	153	111	138	204	46	151	102
BARTON	CITY 1&2	225	576	351	446	431	328	649	125	500	277
BARTON	CITY 3&4	249	455	248	449	346	321	575	100	469	218
BARTON	DOYLESPORT	27	80	33	72	46	58	74	29	56	52
BARTON	GOLDEN CITY	141	255	137	256	199	177	305	74	249	141
BARTON	LAMAR	175	509	245	437	336	324	550	120	413	264
BARTON	MILFORD	37	87	40	84	54	62	104	16	85	38
BARTON	NASHVILLE	36	138	55	117	72	92	141	25	86	79
BARTON	NEWPORT	21	99	36	85	63	52	86	32	69	49
BARTON	NORTHFORK	23	103	41	83	41	74	80	35	61	59
BARTON	OZARK	108	282	141	243	201	160	305	57	226	150
BARTON	RICHLAND	89	170	90	170	111	125	200	43	156	99
BARTON	SOUTHWEST	93	117	80	131	122	82	181	24	152	58
BARTON	UNION	52	95	51	96	75	67	119	27	77	66
BARTON	WRITE IN										
BATES	Absentee	298	220	263	258	313	172	425	70	398	122
BATES	Adrian North	303	348	209	441	399	229	551	83	502	143
BATES	Adrian South	394	460	315	540	508	326	727	106	663	189
BATES	Amoret	102	130	76	158	120	101	182	40	183	47
BATES	Amsterdam	143	161	101	206	156	132	236	57	243	55
BATES	Ballard	189	209	147	252	212	172	315	64	301	89
BATES	Butler 1	314	280	228	372	311	262	472	100	427	165
BATES	Butler 2	288	270	218	340	282	253	462	80	423	133
BATES	Butler 3	364	375	316	411	379	314	568	138	533	195
BATES	Butler 4	246	283	190	333	268	220	394	99	380	135
BATES	Drexel	83	125	88	120	116	78	177	21	150	51
BATES	Hudson	65	143	74	133	98	102	172	31	107	103
BATES	Hume	155	139	79	219	152	126	231	50	237	57
BATES	Rich Hill N	161	212	135	235	156	176	255	82	257	106
BATES	Rich Hill S	224	250	147	326	213	237	373	81	325	143
BATES	Rockville	30	75	28	79	50	52	88	16	71	36
BENTON	ABSENTEE	390	304	292	393	419	231	603	63	525	154
BENTON	ALEXANDER	122	87	62	148	114	94	178	27	172	42
BENTON	COLE 1	193	147	120	222	205	130	283	50	266	74
BENTON	COLE 2	216	159	120	256	226	134	305	59	317	58
BENTON	FRISTOE	474	348	279	541	529	279	704	99	681	132
BENTON	LINDSEY NORTH	343	316	267	392	410	235	588	58	512	145
BENTON	LINDSEY SOUTH	578	400	422	559	612	336	844	100	815	160
BENTON	TOM	566	314	347	532	497	361	776	88	767	113
BENTON	UNION NORTH	192	116	106	203	204	97	266	36	257	51
BENTON	UNION SOUTH	95	167	93	166	157	91	218	31	170	84
BENTON	WHITE NORTH	57	74	44	86	72	56	105	22	87	43
BENTON	WHITE SOUTH	327	402	256	466	413	294	608	98	541	179
BENTON	WILLIAMS	435	777	448	757	700	453	990	169	775	412
BENTON	Write-In										
BOLLINGER	001 PATTON	156	257	159	260	217	180	304	96	251	162
BOLLINGER	002 SEDGEWICKVILLE	114	237	105	246	186	150	248	84	229	115
BOLLINGER	003 YOUNT'S STORE	75	115	65	123	85	96	147	37	126	63
BOLLINGER	004 HURRICANE	97	193	74	213	141	134	211	63	170	112
BOLLINGER	005 SCOPUS	107	262	115	251	162	186	283	72	260	106
BOLLINGER	006 BOLLINGER	53	137	54	131	114	66	149	32	124	63
BOLLINGER	007 MARBLE HILL 1	203	341	181	356	284	232	418	103	373	162
BOLLINGER	008 MARBLE HILL 2	112	354	151	310	224	215	331	109	284	172
BOLLINGER	009 LUTESVILLE	167	308	152	321	250	210	362	95	312	156
BOLLINGER	010 GLEN ALLEN	69	158	77	151	111	101	153	59	149	72
BOLLINGER	011 SITZE	81	170	65	184	119	118	181	56	184	61
BOLLINGER	012 DRUM - DONGOLA	70	368	148	292	222	199	341	86	262	169
BOLLINGER	013 STURDIVANT	26	66	24	69	47	42	77	11	63	29
BOLLINGER	014 ZALMA - GREENBRIER	133	200	105	229	186	136	272	54	245	86
BOLLINGER	ABSENTEE	126	168	121	170	172	97	228	45	202	86
BOONE	001A	300	80	188	190	244	120	283	76	332	52
BOONE	001B	241	83	196	130	206	98	241	66	285	42
BOONE	001C	597	160	438	318	435	274	557	167	644	110
BOONE	001D	364	144	235	271	304	174	384	104	463	49
BOONE	001E	389	147	396	140	368	110	431	61	417	109
BOONE	001F	129	62	88	102	102	77	143	45	162	31
BOONE	001G	323	128	245	209	250	190	352	95	369	87
BOONE	001H	141	40	78	105	110	64	139	37	152	30
BOONE	002A	395	213	327	283	344	252	438	163	439	172
BOONE	002B	543	319	419	446	514	321	692	159	641	224
BOONE	002C	743	540	717	560	763	464	985	257	819	454
BOONE	002D	539	396	466	464	515	375	702	212	631	298
BOONE	002E	788	330	651	458	640	409	823	247	828	275
BOONE	002F	549	341	526	366	549	302	691	180	619	265
BOONE	002G	321	171	260	228	263	211	362	119	369	125
BOONE	003A	600	345	464	486	546	363	760	169	709	239
BOONE	003B	326	187	216	295	284	211	399	103	382	134
BOONE	003C	667	405	535	534	652	385	859	182	808	261
BOONE	003D	758	206	506	463	570	350	730	212	801	169
BOONE	003E	596	384	551	432	561	384	733	223	667	316
BOONE	003F	519	391	503	405	565	312	715	167	607	296
BOONE	004A	742	382	688	442	518	556	744	336	717	397
BOONE	004B	384	373	454	294	422	291	534	196	454	296
BOONE	004C	522	185	414	290	331	340	458	228	487	214
BOONE	004D	497	133	412	222	334	274	441	171	491	139
BOONE	004E	742	278	671	355	481	483	658	329	752	273
BOONE	004F	320	51	269	101	159	187	225	124	293	75
BOONE	004G	337	257	328	260	278	283	390	187	357	232
BOONE	004H	508	226	474	257	366	344	492	227	475	259
BOONE	004I	378	89	317	155	213	243	280	181	342	131
BOONE	004J	375	187	314	249	299	248	394	160	412	148
BOONE	004K	254	216	263	206	283	173	376	84	269	196
BOONE	004L	508	348	519	330	452	369	618	212	532	319
BOONE	005A	225	62	186	100	122	155	166	113	184	98
BOONE	005B	770	511	798	478	674	542	881	359	802	467
BOONE	005C	394	160	328	222	326	194	407	121	391	158
BOONE	005D	702	360	661	400	616	391	785	237	665	385
BOONE	005E	851	644	924	562	788	635	1066	377	828	640
BOONE	005F	630	344	545	429	518	415	669	271	614	355
BOONE	005G	491	196	420	268	311	357	440	238	386	305
BOONE	005H	633	255	560	331	445	422	594	280	590	300
BOONE	005I	395	276	408	264	383	266	479	175	418	256
BOONE	006A	329	72	276	123	228	141	283	94	351	46
BOONE	006B	416	136	384	167	364	147	420	104	436	110
BOONE	006C	771	369	701	436	604	491	789	319	761	374
BOONE	006D	463	165	382	239	371	216	475	129	421	203
BOONE	006E	448	200	423	232	440	179	531	101	463	188
BOONE	006F	56	23	58	21	60	13	65	8	57	20
BOONE	006G	441	180	402	219	402	183	479	113	452	165
BOONE	7	353	306	249	409	356	284	504	138	450	210
BOONE	8	458	455	316	600	483	397	691	200	574	339
BOONE	9	174	266	170	273	272	156	374	58	267	172
BOONE	10	186	228	129	284	256	146	353	55	309	99
BOONE	11	238	324	217	346	340	207	454	102	356	205
BOONE	12	190	195	105	275	207	164	323	55	290	89
BOONE	13	170	168	150	191	171	153	233	95	204	131
BOONE	14	473	328	292	507	463	311	600	188	544	254
BOONE	15	205	140	115	230	172	160	258	78	237	101
BOONE	16	406	395	280	523	461	312	603	183	503	298
BOONE	17	459	372	344	488	458	338	660	155	538	286
BOONE	18	254	114	192	177	197	160	254	105	248	117
BOONE	19	440	347	357	428	430	337	591	185	498	288
BOONE	20	259	165	189	232	235	179	294	123	268	151
BOONE	21	249	229	266	205	299	158	367	99	322	152
BOONE	22	499	362	411	451	532	307	685	167	627	232
BOONE	23	320	238	243	316	312	219	428	116	377	177
BOONE	24	367	259	269	356	329	273	466	143	395	225
BOONE	25	295	166	234	226	216	226	310	136	279	177
BOONE	26	653	342	474	517	480	481	687	283	643	349
BOONE	27	660	390	566	476	559	439	759	254	639	392
BOONE	28	472	256	341	387	398	313	556	158	495	234
BOONE	29	251	189	195	243	234	197	291	143	271	166
BOONE	30	474	308	326	457	421	325	605	162	529	253
BOONE	31	661	484	512	626	641	470	889	239	742	393
BOONE	32	105	70	71	106	108	65	142	29	124	53
BOONE	33	371	244	264	351	343	260	480	126	412	201
BOONE	34	327	217	294	248	293	235	393	143	373	171
BOONE	35	229	222	197	254	262	176	363	82	277	173
BOONE	36	362	227	333	254	322	233	428	142	348	236
BOONE	37	160	97	135	124	149	101	186	68	176	83
BOONE	38	347	188	255	281	265	259	383	145	334	200
BOONE	39	419	426	303	542	490	333	644	182	530	311
BOONE	40	324	218	257	284	312	206	420	108	383	154
BOONE	41	555	325	413	461	503	357	684	177	598	281
BOONE	42	193	190	170	214	230	144	306	72	242	139
BOONE	043 FedOverseas										
BOONE	044 Intrastate New Resident	2	3	3	2	5	0	3	1	4	1
BOONE	045 Provisional	31	16	21	26	26	17	38	5	30	14
BOONE	046 Central 1	79	25	64	38	74	24	85	19	86	19
BOONE	047 Central 2	168	70	155	84	164	50	194	27	170	60
BOONE	048 Central 3	35	15	31	19	37	10	43	5	49	1
BUCHANAN	001 MARVIN MCMURRAY CHURC	248	412	386	249	483	156	465	191	241	398
BUCHANAN	002 - SAVANNAH AVE. BAPTIST	242	534	397	350	575	177	579	192	259	500
BUCHANAN	003 EUGENE FIELD SCHOOL	344	322	389	246	465	179	404	256	278	366
BUCHANAN	004 WEBSTER SCHOOL	202	266	249	200	343	107	343	117	165	285
BUCHANAN	005 HUMBOLDT SCHOOL 1	83	196	155	111	203	66	204	71	96	178
BUCHANAN	006 - FIRST BAPTIST CHURCH	301	373	374	273	520	134	534	134	271	387
BUCHANAN	007 - BODE MIDDLE SCHOOL	403	407	486	292	615	175	583	225	346	446
BUCHANAN	008 - WYATT PARK CHRISTIAN 1	496	712	690	482	949	234	923	280	481	696
BUCHANAN	009 HORACE MANN BUILDING	135	255	186	181	268	107	307	78	123	254
BUCHANAN	010 BROOKDALE MINISTRY 1	409	560	520	421	687	262	738	235	380	567
BUCHANAN	011 PONY EXPRESS MUSEUM 1	173	367	284	242	402	121	412	130	204	328
BUCHANAN	012 COPELAND BAPTIST CHURCH	290	636	475	422	675	232	714	212	309	606
BUCHANAN	013 HUFFMAN UNITED METHODIST	183	224	225	158	302	91	275	124	158	232
BUCHANAN	014 TROESTER MEDIA CENTER 1	367	485	499	326	661	174	638	212	330	498
BUCHANAN	015 ST. JAMES PARISH CENTER 1	275	537	443	331	623	160	637	170	295	489
BUCHANAN	016 LAKE CONTRARY SCHOOL 1	103	265	177	179	279	75	280	84	132	233
BUCHANAN	017 HYDE VALLEY UNITED METHOD	250	586	426	376	608	202	622	206	298	522
BUCHANAN	018 NEW HOPE FOURSQUARE	557	855	757	602	1032	338	1042	361	506	869
BUCHANAN	019 PERSHING SCHOOL	261	374	356	256	475	145	459	174	229	378
BUCHANAN	020 fAITH UNITED CHURCH	518	524	595	411	729	282	678	360	383	629
BUCHANAN	021 ASHLAND UNITED 1	547	617	647	456	814	314	772	387	452	682
BUCHANAN	022 WYATT PARK BAPTIST 1	1369	1111	1467	889	1816	576	1614	838	1014	1381
BUCHANAN	023 WESLEY UNITED METHODIST 1	537	722	658	549	933	290	908	342	412	817
BUCHANAN	024 - SKAITH SCHOOL	344	493	448	361	630	179	574	254	289	521
BUCHANAN	025 MISSOURI NATIONAL GUARD 1	733	742	846	567	1057	364	972	486	571	856
BUCHANAN	026 ST. PAUL LUTHERAN CHURCH 1	569	533	608	459	796	275	677	420	468	605
BUCHANAN	027 - AGENCY 1	182	297	258	206	365	101	341	133	189	286
BUCHANAN	028 BLOOMINGTON 1	93	250	175	153	259	71	222	117	112	219
BUCHANAN	029 CENTER 1	260	400	369	277	473	172	441	227	232	432
BUCHANAN	030 - CRAWFORD 1	223	398	331	278	484	123	445	175	207	411
BUCHANAN	031 MARION - EASTON 1	104	141	114	120	181	60	167	78	97	146
BUCHANAN	032 - PLATTETREMONT 1	204	261	234	205	351	102	308	149	173	281
BUCHANAN	033 RUSH 1	117	225	191	137	276	59	268	69	124	208
BUCHANAN	034 CLAIR 1	217	313	303	210	360	153	313	216	211	312
BUCHANAN	035 - WASHINGTON-FIREFIGHTERS 1	294	334	339	267	462	148	375	245	239	372
BUCHANAN	036 - ABSENTEE	1163	933	1332	674	1741	314	1573	524	1056	979
BUTLER	001 - Broseley	128	196	110	216	153	151	240	62	241	78
BUTLER	002 - Cane Creek	129	235	140	242	207	155	303	66	238	140
BUTLER	003 - Coon Island	17	40	27	34	21	40	43	16	38	22
BUTLER	004 - Fagus	41	61	27	81	47	53	83	19	71	33
BUTLER	005 - Fisk	254	228	114	279	192	172	303	68	282	104
BUTLER	006 - Hendrickson	130	255	145	247	208	173	321	65	239	153
BUTLER	007 - Hillview	170	373	212	360	265	281	451	101	406	157
BUTLER	008 - Kinyon	249	369	263	374	322	293	504	115	409	219
BUTLER	009 - Lake Road	247	409	268	416	342	316	569	97	480	196
BUTLER	010 - Moark	231	460	335	359	362	294	541	127	393	286
BUTLER	011 - Neelyville	99	150	81	181	113	136	197	54	197	59
BUTLER	012 - Oak Brier	54	102	77	85	85	68	122	34	101	58
BUTLER	013 - Oak Grove	276	474	336	425	403	324	616	108	472	276
BUTLER	014 - Oglesville	51	74	33	94	49	70	89	34	84	42
BUTLER	015 - Poplar Bluff-W.D. 1	283	411	254	466	383	307	572	113	546	163
BUTLER	016 - Poplar Bluff-W.D. 2	439	594	538	503	620	375	861	144	688	340
BUTLER	017 - Poplar Bluff-W.D. 3	174	259	175	278	239	192	355	70	339	104
BUTLER	018 - Poplar Bluff-W.D. 4	486	771	646	628	730	466	1010	197	794	451
BUTLER	019 - Poplar Bluff-W.D. 5	272	342	234	397	354	241	513	90	459	153
BUTLER	020 - Qulin	119	156	76	210	124	141	227	46	202	72
BUTLER	021 - Rombauer	88	116	67	143	100	97	162	40	153	54
BUTLER	022 - Sale Barn	149	287	195	264	231	206	355	81	328	123
BUTLER	023 - Twin Springs	240	497	273	483	350	356	588	128	467	277
BUTLER	024 - Walton Chapel	40	96	51	93	78	54	124	13	100	44
BUTLER	025 - Wappapello	150	178	111	222	178	143	277	49	252	79
BUTLER	098 - Federal Overseas	1	2	1	2	3	0	3	0	3	0
BUTLER	099 ABSENTEE	318	337	323	338	361	269	542	104	486	166
BUTLER	0997 Provisional										
CALDWELL	1 - BRECKENRIDGE	96	84	57	120	99	74	150	23	132	46
CALDWELL	1 - FAIRVIEW/DAVIS	276	237	210	302	277	205	385	106	377	126
CALDWELL	1 GRANT	257	273	196	330	297	205	432	76	430	93
CALDWELL	1 HAMILTON I - GOMER	293	215	224	280	265	220	383	107	376	126
CALDWELL	1 HAMILTON II	258	242	192	315	286	204	392	100	363	137
CALDWELL	1 KIDDER	163	196	158	204	219	131	300	52	281	77
CALDWELL	1 KINGSTON	109	129	87	151	122	101	184	39	177	58
CALDWELL	1 LINCOLN	73	107	46	135	97	83	144	35	140	41
CALDWELL	1 MIRABLE-ROCKFORD	201	202	181	222	229	162	342	54	321	83
CALDWELL	1 NEW YORK	47	56	40	67	60	43	90	15	78	29
CALDWELL	ABSENTEE	129	92	126	101	134	79	204	18	181	46
CALLAWAY	001 AUXVASSE	296	408	249	474	416	286	603	106	527	190
CALLAWAY	002 CALWOOD	157	195	117	246	190	154	276	73	248	102
CALLAWAY	003 CARRINGTON	179	201	127	258	216	160	284	89	246	138
CALLAWAY	004 CEDAR CITY	432	591	403	634	612	397	804	208	579	438
CALLAWAY	005 DIXIE	65	95	54	110	104	59	127	35	90	74
CALLAWAY	006 FULTON-WD. 1	448	473	449	502	572	336	758	165	647	291
CALLAWAY	007 FULTON-WD. 2	97	127	108	121	134	85	180	38	155	70
CALLAWAY	008 FULTON-EAST	539	552	465	647	648	422	869	207	741	350
CALLAWAY	009 FULTON-WD. 3	402	425	393	439	565	238	656	154	590	229
CALLAWAY	010 FULTON-WD. 4	374	281	320	349	385	257	505	138	468	192
CALLAWAY	011 FULTON-WEST	213	205	184	235	272	130	335	74	279	140
CALLAWAY	012 GUTHRIE	125	120	99	148	144	96	179	59	168	76
CALLAWAY	013 HAMS PRAIRIE	199	236	143	291	253	172	340	84	279	150
CALLAWAY	014 HATTON	103	202	101	208	178	124	225	79	181	122
CALLAWAY	015 HOLTS SUMMIT-WD. 1	359	515	324	563	522	341	687	188	577	310
CALLAWAY	018 MC CREDIE	120	164	114	171	176	100	226	50	189	93
CALLAWAY	019 MILLERSBURG	391	342	309	445	417	316	587	147	475	272
CALLAWAY	020 MOKANE	130	140	73	209	156	105	214	53	202	73
CALLAWAY	021 NEW BLOOMFIELD	447	577	359	690	598	410	794	219	658	373
CALLAWAY	022 PORTLAND	82	83	55	112	110	53	144	19	122	42
CALLAWAY	023 READSVILLE	89	89	53	129	105	73	143	34	131	45
CALLAWAY	024 SHAMROCK	62	106	53	120	94	71	137	26	116	55
CALLAWAY	025 STEPHENS	136	112	89	164	133	111	201	47	169	82
CALLAWAY	026 TEBBETTS	215	210	166	271	237	178	311	103	260	164
CALLAWAY	027 WILLIAMSBURG	141	125	84	183	158	100	213	45	198	65
CALLAWAY	ABSENTEE	505	379	471	415	544	309	746	115	595	277
CALLAWAY	CEDAR CITY L-ZHOLTS SUMMITT RURAL	425	588	420	610	588	406	790	213	622	397
CAMDEN	ABSENTEE	978	652	847	785	1049	518	1476	124	1139	486
CAMDEN	BARNUMTON	295	274	200	367	332	214	494	64	435	125
CAMDEN	CAMDENTON 1	484	588	431	648	648	390	937	115	783	281
CAMDEN	CAMDENTON 2	391	456	376	471	519	295	732	98	614	223
CAMDEN	CAMDENTON 3	455	611	425	645	622	410	916	127	757	300
CAMDEN	CLIMAX SPRINGS 	348	290	207	426	350	240	528	80	470	157
CAMDEN	DECATURVILLE	182	333	165	347	277	215	435	68	346	162
CAMDEN	FREEDOM	133	141	71	200	177	85	246	21	194	75
CAMDEN	GREENVIEW	423	357	365	415	474	270	676	87	579	190
CAMDEN	HA HA TONKA	102	131	69	163	137	85	201	29	166	66
CAMDEN	HILLHOUSE	96	180	107	171	131	122	223	37	195	73
CAMDEN	HORSESHOE BEND	771	759	761	765	956	525	1338	174	999	521
CAMDEN	LINN CREEK	323	337	279	382	396	238	566	84	459	201
CAMDEN	MACKS CREEK	380	479	261	594	452	345	703	110	629	209
CAMDEN	MONTREAL	82	170	86	170	118	122	192	54	164	89
CAMDEN	OSAGE BEACH 1	192	166	164	195	234	116	317	38	249	105
CAMDEN	OSAGE BEACH 2	548	468	519	494	634	338	874	120	724	276
CAMDEN	OSAGE BEACH 3	268	206	179	295	298	154	400	65	334	134
CAMDEN	ROACH	262	399	286	372	397	222	502	133	419	229
CAMDEN	STOUTLAND	128	187	84	228	168	128	255	47	232	76
CAMDEN	SUNNYSLOPE	106	130	87	149	132	98	202	29	161	73
CAMDEN	SUNRISE BEACH 1	440	362	365	433	533	242	708	80	564	232
CAMDEN	SUNRISE BEACH 2	292	222	228	284	308	186	443	60	372	134
CAMDEN	SUNRISE BEACH 3	311	330	256	382	394	226	559	65	465	170
CAMDEN	WILSON BEND	135	82	81	140	125	85	190	20	170	47
CAPE GIRARDEAU	001-FRIEDHEIM	65	197	72	188	141	106	199	53	132	127
CAPE GIRARDEAU	002-OAK RIDGE	164	362	181	339	286	217	409	99	298	221
CAPE GIRARDEAU	003-BYRD 1	503	967	724	740	901	502	1248	179	874	575
CAPE GIRARDEAU	004-BYRD 2	414	744	549	604	680	435	921	190	694	454
CAPE GIRARDEAU	005-BYRD 3	433	902	656	679	836	444	1057	236	757	571
CAPE GIRARDEAU	006-BYRD 4	441	775	542	668	698	459	978	189	715	484
CAPE GIRARDEAU	007-BYRD 5 6	446	1122	717	845	923	579	1274	238	902	652
CAPE GIRARDEAU	008 BROWN OWL	69	191	107	154	151	97	211	40	139	115
CAPE GIRARDEAU	009 - CAMPSTER	161	372	230	303	326	192	439	77	273	256
CAPE GIRARDEAU	010 - CAPE PREC. 1	336	316	273	376	428	207	532	103	450	202
CAPE GIRARDEAU	011 - CAPE PREC. 2	568	826	757	631	924	424	1163	203	826	561
CAPE GIRARDEAU	012 CAPE PREC 4	348	279	320	309	410	197	516	94	437	189
CAPE GIRARDEAU	013 CAPE PREC 6	382	413	378	414	530	230	655	109	517	275
CAPE GIRARDEAU	014-CAPE PREC 7	473	688	527	623	746	362	967	155	732	411
CAPE GIRARDEAU	015-CAPE PREC 8	281	246	214	315	316	187	417	89	373	153
CAPE GIRARDEAU	016-CAPE PREC 9	101	109	76	135	107	101	157	48	180	34
CAPE GIRARDEAU	017-CAPE PREC 12	112	115	76	150	122	92	180	37	193	35
CAPE GIRARDEAU	018-CAPE PREC 13	293	575	434	423	548	280	687	149	468	392
CAPE GIRARDEAU	019-CAPE PREC 14	276	443	350	367	468	221	578	118	415	297
CAPE GIRARDEAU	020-CAPE PREC 15	377	626	492	504	625	332	800	161	570	415
CAPE GIRARDEAU	021-CAPE PREC 16	451	905	723	630	858	450	1115	204	663	682
CAPE GIRARDEAU	022-CAPE PREC 17	541	965	778	721	994	466	1265	210	804	687
CAPE GIRARDEAU	023-CAPE PREC 18	325	507	403	419	526	253	683	100	549	263
CAPE GIRARDEAU	024-GORDONVILLE	184	554	331	403	404	293	576	125	361	361
CAPE GIRARDEAU	025-WHITEWATER	110	261	124	244	206	146	270	86	229	141
CAPE GIRARDEAU	026-BURFORDVILLE	167	273	163	276	249	182	373	62	271	169
CAPE GIRARDEAU	027-HANOVER	302	595	428	465	551	292	722	133	473	415
CAPE GIRARDEAU	028-NELL HOLCOMB	290	429	318	400	431	265	577	116	456	260
CAPE GIRARDEAU	029-ORIOLE-NEELYS	156	182	118	217	190	138	272	57	228	106
CAPE GIRARDEAU	030-FRUITLAND	428	894	570	746	792	483	1094	189	762	546
CAPE GIRARDEAU	031-NEW WELLS	78	259	135	203	182	143	255	74	178	157
CAPE GIRARDEAU	032-POCAHONTAS 	87	212	118	179	161	123	239	49	187	109
