county,precinct,office,district,party,candidate,votes,election_day,absentee,absentee2
Greene,0001 1-ABC,Attorney General,,DEM,RICH FINNERAN,591,591,0,0
Greene,0001 1-ABC,Attorney General,,LIB,KEVIN C BABCOCK,34,34,0,0
Greene,0001 1-ABC,U.S. House,7,REP,BILLY LONG,436,436,0,0
Greene,0001 1-ABC,U.S. House,7,DEM,TERESA MONTSENY,620,620,0,0
Greene,0001 1-ABC,U.S. House,7,LIB,KEVIN CRAIG,57,57,0,0
Greene,0001 1-ABC,State House,135,REP,STEVE HELMS,442,442,0,0
Greene,0001 1-ABC,State House,135,DEM,BETSY FOGLE,659,659,0,0
Greene,0001 1-ABC,State House,135,GRN,VICKE KEPLING,40,40,0,0
Greene,0001 1-ABC,COMMISSIONER - DISTRICT 2 DST 2,,REP,JOHN C. RUSSELL,438,438,0,0
Greene,0001 1-ABC,COMMISSIONER - DISTRICT 2 DST 2,,DEM,SARA LAMPE,657,657,0,0
Greene,0001 1-ABC,COMMISSIONER - DISTRICT 2 DST 2,,LIB,CECIL A. INCE,37,37,0,0
Greene,0001 1-ABC,SHERIFF GREENE,,REP,JIM C ARNOTT,803,803,0,0
Greene,0001 1-ABC,ASSESSOR GREENE,,REP,BRENT JOHNSON,814,814,0,0
Greene,0001 1-ABC,TREASURER GREENE,,REP,JUSTIN HILL,803,803,0,0
Greene,0001 1-ABC,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,796,796,0,0
Greene,0001 1-ABC,Constitutional Amendment No. 1,,,Yes,544,544,0,0
Greene,0001 1-ABC,Constitutional Amendment No. 1,,,No.,550,550,0,0
Greene,0001 1-ABC,Constitutional Amendment No. 3,,,Yes,370,370,0,0
Greene,0001 1-ABC,Constitutional Amendment No. 3,,,No.,739,739,0,0
Greene,0001 1-ABC,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,760,760,0,0
Greene,0001 1-ABC,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,226,226,0,0
Greene,0001 1-ABC,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,681,681,0,0
Greene,0001 1-ABC,"Court of Appeals Judge, Southern District - Gary W.",,,No.,276,276,0,0
Greene,0001 1-ABC,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,671,671,0,0
Greene,0001 1-ABC,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,295,295,0,0
Greene,0001 1-ABC,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,745,745,0,0
Greene,0001 1-ABC,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,235,235,0,0
Greene,0001 1-ABC,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,719,719,0,0
Greene,0001 1-ABC,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,278,278,0,0
Greene,0001 1-ABC,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,683,683,0,0
Greene,0002 2-AB,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,218,218,0,0
Greene,0002 2-AB,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,383,383,0,0
Greene,0002 2-AB,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,16,16,0,0
Greene,0002 2-AB,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,4,4,0,0
Greene,0002 2-AB,President,,CST,DON BLANKENSHIP WILLIAM MOHR,0,0,0,0
Greene,0002 2-AB,Governor,,REP,MIKE PARSON,220,220,0,0
Greene,0002 2-AB,Governor,,DEM,NICOLE GALLOWAY,381,381,0,0
Greene,0002 2-AB,Governor,,LIB,RIK COMBS,14,14,0,0
Greene,0002 2-AB,Governor,,GRN,JEROME HOWARD BAUER,5,5,0,0
Greene,0002 2-AB,Lieutenant Governor,,REP,MIKE KEHOE,220,220,0,0
Greene,0002 2-AB,Lieutenant Governor,,DEM,ALISSIA CANADY,361,361,0,0
Greene,0002 2-AB,Lieutenant Governor,,LIB,BILL SLANTZ,22,22,0,0
Greene,0002 2-AB,Lieutenant Governor,,GRN,KELLEY DRAGOO,9,9,0,0
Greene,0002 2-AB,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,233,233,0,0
Greene,0002 2-AB,Secretary of State,,DEM,YINKA FALETI,351,351,0,0
Greene,0002 2-AB,Secretary of State,,LIB,CARL HERMAN FREESE,21,21,0,0
Greene,0002 2-AB,Secretary of State,,GRN,PAUL LEHMANN,6,6,0,0
Greene,0002 2-AB,Secretary of State,,CST,PAUL VENABLE,2,2,0,0
Greene,0002 2-AB,State Treasurer,,REP,SCOTT FITZPATRICK,227,227,0,0
Greene,0002 2-AB,State Treasurer,,DEM,VICKI LORENZ ENGLUND,353,353,0,0
Greene,0002 2-AB,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,21,21,0,0
Greene,0002 2-AB,State Treasurer,,GRN,JOSEPH CIVETTINI,6,6,0,0
Greene,0002 2-AB,Attorney General,,REP,ERIC SCHMITT,233,233,0,0
Greene,0002 2-AB,Attorney General,,DEM,RICH FINNERAN,354,354,0,0
Greene,0002 2-AB,Attorney General,,LIB,KEVIN C BABCOCK,20,20,0,0
Greene,0002 2-AB,U.S. House,7,REP,BILLY LONG,206,206,0,0
Greene,0002 2-AB,U.S. House,7,DEM,TERESA MONTSENY,356,356,0,0
Greene,0002 2-AB,U.S. House,7,LIB,KEVIN CRAIG,34,34,0,0
Greene,0002 2-AB,State House,135,REP,STEVE HELMS,217,217,0,0
Greene,0002 2-AB,State House,135,DEM,BETSY FOGLE,377,377,0,0
Greene,0002 2-AB,State House,135,GRN,VICKE KEPLING,24,24,0,0
Greene,0002 2-AB,COMMISSIONER - DISTRICT 2 DST 2,,REP,JOHN C. RUSSELL,209,209,0,0
Greene,0002 2-AB,COMMISSIONER - DISTRICT 2 DST 2,,DEM,SARA LAMPE,380,380,0,0
Greene,0002 2-AB,COMMISSIONER - DISTRICT 2 DST 2,,LIB,CECIL A. INCE,19,19,0,0
Greene,0002 2-AB,SHERIFF GREENE,,REP,JIM C ARNOTT,395,395,0,0
Greene,0002 2-AB,ASSESSOR GREENE,,REP,BRENT JOHNSON,410,410,0,0
Greene,0002 2-AB,TREASURER GREENE,,REP,JUSTIN HILL,391,391,0,0
Greene,0002 2-AB,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,394,394,0,0
Greene,0002 2-AB,Constitutional Amendment No. 1,,,Yes,276,276,0,0
Greene,0002 2-AB,Constitutional Amendment No. 1,,,No.,309,309,0,0
Greene,0002 2-AB,Constitutional Amendment No. 3,,,Yes,196,196,0,0
Greene,0002 2-AB,Constitutional Amendment No. 3,,,No.,402,402,0,0
Greene,0002 2-AB,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,376,376,0,0
Greene,0002 2-AB,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,129,129,0,0
Greene,0002 2-AB,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,337,337,0,0
Greene,0002 2-AB,"Court of Appeals Judge, Southern District - Gary W.",,,No.,161,161,0,0
Greene,0002 2-AB,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,339,339,0,0
Greene,0002 2-AB,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,158,158,0,0
Greene,0002 2-AB,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,371,371,0,0
Greene,0002 2-AB,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,128,128,0,0
Greene,0002 2-AB,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,377,377,0,0
Greene,0002 2-AB,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,140,140,0,0
Greene,0002 2-AB,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,360,360,0,0
Greene,0003 3-A,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,193,193,0,0
Greene,0003 3-A,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,356,356,0,0
Greene,0003 3-A,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,14,14,0,0
Greene,0003 3-A,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,3,3,0,0
Greene,0003 3-A,President,,CST,DON BLANKENSHIP WILLIAM MOHR,0,0,0,0
Greene,0003 3-A,Governor,,REP,MIKE PARSON,207,207,0,0
Greene,0003 3-A,Governor,,DEM,NICOLE GALLOWAY,344,344,0,0
Greene,0003 3-A,Governor,,LIB,RIK COMBS,15,15,0,0
Greene,0003 3-A,Governor,,GRN,JEROME HOWARD BAUER,2,2,0,0
Greene,0003 3-A,Lieutenant Governor,,REP,MIKE KEHOE,212,212,0,0
Greene,0003 3-A,Lieutenant Governor,,DEM,ALISSIA CANADY,326,326,0,0
Greene,0003 3-A,Lieutenant Governor,,LIB,BILL SLANTZ,13,13,0,0
Greene,0003 3-A,Lieutenant Governor,,GRN,KELLEY DRAGOO,6,6,0,0
Greene,0003 3-A,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,227,227,0,0
Greene,0003 3-A,Secretary of State,,DEM,YINKA FALETI,312,312,0,0
Greene,0003 3-A,Secretary of State,,LIB,CARL HERMAN FREESE,13,13,0,0
Greene,0003 3-A,Secretary of State,,GRN,PAUL LEHMANN,8,8,0,0
Greene,0003 3-A,Secretary of State,,CST,PAUL VENABLE,2,2,0,0
Greene,0003 3-A,State Treasurer,,REP,SCOTT FITZPATRICK,221,221,0,0
Greene,0003 3-A,State Treasurer,,DEM,VICKI LORENZ ENGLUND,316,316,0,0
Greene,0003 3-A,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,13,13,0,0
Greene,0003 3-A,State Treasurer,,GRN,JOSEPH CIVETTINI,7,7,0,0
Greene,0003 3-A,Attorney General,,REP,ERIC SCHMITT,220,220,0,0
Greene,0003 3-A,Attorney General,,DEM,RICH FINNERAN,319,319,0,0
Greene,0003 3-A,Attorney General,,LIB,KEVIN C BABCOCK,18,18,0,0
Greene,0003 3-A,U.S. House,7,REP,BILLY LONG,195,195,0,0
Greene,0003 3-A,U.S. House,7,DEM,TERESA MONTSENY,322,322,0,0
Greene,0003 3-A,U.S. House,7,LIB,KEVIN CRAIG,34,34,0,0
Greene,0003 3-A,State House,134,REP,ALEX RILEY,219,219,0,0
Greene,0003 3-A,State House,134,DEM,DERRICK NOWLIN,338,338,0,0
Greene,0003 3-A,COMMISSIONER - DISTRICT 2 DST 2,,REP,JOHN C. RUSSELL,188,188,0,0
Greene,0003 3-A,COMMISSIONER - DISTRICT 2 DST 2,,DEM,SARA LAMPE,359,359,0,0
Greene,0003 3-A,COMMISSIONER - DISTRICT 2 DST 2,,LIB,CECIL A. INCE,12,12,0,0
Greene,0003 3-A,SHERIFF GREENE,,REP,JIM C ARNOTT,363,363,0,0
Greene,0003 3-A,ASSESSOR GREENE,,REP,BRENT JOHNSON,375,375,0,0
Greene,0003 3-A,TREASURER GREENE,,REP,JUSTIN HILL,369,369,0,0
Greene,0003 3-A,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,357,357,0,0
Greene,0003 3-A,Constitutional Amendment No. 1,,,Yes,278,278,0,0
Greene,0003 3-A,Constitutional Amendment No. 1,,,No.,265,265,0,0
Greene,0003 3-A,Constitutional Amendment No. 3,,,Yes,175,175,0,0
Greene,0003 3-A,Constitutional Amendment No. 3,,,No.,378,378,0,0
Greene,0003 3-A,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,354,354,0,0
Greene,0003 3-A,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,122,122,0,0
Greene,0003 3-A,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,338,338,0,0
Greene,0003 3-A,"Court of Appeals Judge, Southern District - Gary W.",,,No.,134,134,0,0
Greene,0003 3-A,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,326,326,0,0
Greene,0003 3-A,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,150,150,0,0
Greene,0003 3-A,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,345,345,0,0
Greene,0003 3-A,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,128,128,0,0
Greene,0003 3-A,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,357,357,0,0
Greene,0003 3-A,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,123,123,0,0
Greene,0003 3-A,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,344,344,0,0
Greene,0004 3-B,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,116,116,0,0
Greene,0004 3-B,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,219,219,0,0
Greene,0004 3-B,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,13,13,0,0
Greene,0004 3-B,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,2,2,0,0
Greene,0004 3-B,President,,CST,DON BLANKENSHIP WILLIAM MOHR,0,0,0,0
Greene,0004 3-B,Governor,,REP,MIKE PARSON,112,112,0,0
Greene,0004 3-B,Governor,,DEM,NICOLE GALLOWAY,222,222,0,0
Greene,0004 3-B,Governor,,LIB,RIK COMBS,8,8,0,0
Greene,0004 3-B,Governor,,GRN,JEROME HOWARD BAUER,1,1,0,0
Greene,0004 3-B,Lieutenant Governor,,REP,MIKE KEHOE,120,120,0,0
Greene,0004 3-B,Lieutenant Governor,,DEM,ALISSIA CANADY,197,197,0,0
Greene,0004 3-B,Lieutenant Governor,,LIB,BILL SLANTZ,18,18,0,0
Greene,0004 3-B,Lieutenant Governor,,GRN,KELLEY DRAGOO,7,7,0,0
Greene,0004 3-B,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,123,123,0,0
Greene,0004 3-B,Secretary of State,,DEM,YINKA FALETI,197,197,0,0
Greene,0004 3-B,Secretary of State,,LIB,CARL HERMAN FREESE,19,19,0,0
Greene,0004 3-B,Secretary of State,,GRN,PAUL LEHMANN,3,3,0,0
Greene,0004 3-B,Secretary of State,,CST,PAUL VENABLE,1,1,0,0
Greene,0004 3-B,State Treasurer,,REP,SCOTT FITZPATRICK,117,117,0,0
Greene,0004 3-B,State Treasurer,,DEM,VICKI LORENZ ENGLUND,202,202,0,0
Greene,0004 3-B,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,16,16,0,0
Greene,0004 3-B,State Treasurer,,GRN,JOSEPH CIVETTINI,4,4,0,0
Greene,0004 3-B,Attorney General,,REP,ERIC SCHMITT,120,120,0,0
Greene,0004 3-B,Attorney General,,DEM,RICH FINNERAN,205,205,0,0
Greene,0004 3-B,Attorney General,,LIB,KEVIN C BABCOCK,15,15,0,0
Greene,0004 3-B,U.S. House,7,REP,BILLY LONG,108,108,0,0
Greene,0004 3-B,U.S. House,7,DEM,TERESA MONTSENY,207,207,0,0
Greene,0004 3-B,U.S. House,7,LIB,KEVIN CRAIG,20,20,0,0
Greene,0004 3-B,State House,132,REP,SARAH SEMPLE,114,114,0,0
Greene,0004 3-B,State House,132,DEM,CRYSTAL QUADE,228,228,0,0
Greene,0004 3-B,COMMISSIONER - DISTRICT 2 DST 2,,REP,JOHN C. RUSSELL,112,112,0,0
Greene,0004 3-B,COMMISSIONER - DISTRICT 2 DST 2,,DEM,SARA LAMPE,214,214,0,0
Greene,0004 3-B,COMMISSIONER - DISTRICT 2 DST 2,,LIB,CECIL A. INCE,12,12,0,0
Greene,0004 3-B,SHERIFF GREENE,,REP,JIM C ARNOTT,251,251,0,0
Greene,0004 3-B,ASSESSOR GREENE,,REP,BRENT JOHNSON,265,265,0,0
Greene,0004 3-B,TREASURER GREENE,,REP,JUSTIN HILL,263,263,0,0
Greene,0004 3-B,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,257,257,0,0
Greene,0004 3-B,Constitutional Amendment No. 1,,,Yes,152,152,0,0
Greene,0004 3-B,Constitutional Amendment No. 1,,,No.,186,186,0,0
Greene,0004 3-B,Constitutional Amendment No. 3,,,Yes,116,116,0,0
Greene,0004 3-B,Constitutional Amendment No. 3,,,No.,222,222,0,0
Greene,0004 3-B,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,224,224,0,0
Greene,0004 3-B,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,79,79,0,0
Greene,0004 3-B,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,194,194,0,0
Greene,0004 3-B,"Court of Appeals Judge, Southern District - Gary W.",,,No.,103,103,0,0
Greene,0004 3-B,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,204,204,0,0
Greene,0004 3-B,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,94,94,0,0
Greene,0004 3-B,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,222,222,0,0
Greene,0004 3-B,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,76,76,0,0
Greene,0004 3-B,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,215,215,0,0
Greene,0004 3-B,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,85,85,0,0
Greene,0004 3-B,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,202,202,0,0
Greene,0005 4-AB,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,306,306,0,0
Greene,0005 4-AB,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,534,534,0,0
Greene,0005 4-AB,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,23,23,0,0
Greene,0005 4-AB,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,5,5,0,0
Greene,0005 4-AB,President,,CST,DON BLANKENSHIP WILLIAM MOHR,0,0,0,0
Greene,0005 4-AB,Governor,,REP,MIKE PARSON,309,309,0,0
Greene,0005 4-AB,Governor,,DEM,NICOLE GALLOWAY,530,530,0,0
Greene,0005 4-AB,Governor,,LIB,RIK COMBS,26,26,0,0
Greene,0005 4-AB,Governor,,GRN,JEROME HOWARD BAUER,5,5,0,0
Greene,0005 4-AB,Lieutenant Governor,,REP,MIKE KEHOE,315,315,0,0
Greene,0005 4-AB,Lieutenant Governor,,DEM,ALISSIA CANADY,492,492,0,0
Greene,0005 4-AB,Lieutenant Governor,,LIB,BILL SLANTZ,31,31,0,0
Greene,0005 4-AB,Lieutenant Governor,,GRN,KELLEY DRAGOO,18,18,0,0
Greene,0005 4-AB,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,338,338,0,0
Greene,0005 4-AB,Secretary of State,,DEM,YINKA FALETI,470,470,0,0
Greene,0005 4-AB,Secretary of State,,LIB,CARL HERMAN FREESE,38,38,0,0
Greene,0005 4-AB,Secretary of State,,GRN,PAUL LEHMANN,12,12,0,0
Greene,0005 4-AB,Secretary of State,,CST,PAUL VENABLE,2,2,0,0
Greene,0005 4-AB,State Treasurer,,REP,SCOTT FITZPATRICK,330,330,0,0
Greene,0005 4-AB,State Treasurer,,DEM,VICKI LORENZ ENGLUND,479,479,0,0
Greene,0005 4-AB,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,34,34,0,0
Greene,0005 4-AB,State Treasurer,,GRN,JOSEPH CIVETTINI,12,12,0,0
Greene,0005 4-AB,Attorney General,,REP,ERIC SCHMITT,335,335,0,0
Greene,0005 4-AB,Attorney General,,DEM,RICH FINNERAN,478,478,0,0
Greene,0005 4-AB,Attorney General,,LIB,KEVIN C BABCOCK,41,41,0,0
Greene,0005 4-AB,U.S. House,7,REP,BILLY LONG,307,307,0,0
Greene,0005 4-AB,U.S. House,7,DEM,TERESA MONTSENY,496,496,0,0
Greene,0005 4-AB,U.S. House,7,LIB,KEVIN CRAIG,48,48,0,0
Greene,0005 4-AB,State House,132,REP,SARAH SEMPLE,186,186,0,0
Greene,0005 4-AB,State House,132,DEM,CRYSTAL QUADE,310,310,0,0
Greene,0005 4-AB,State House,134,REP,ALEX RILEY,148,148,0,0
Greene,0005 4-AB,State House,134,DEM,DERRICK NOWLIN,209,209,0,0
Greene,0005 4-AB,COMMISSIONER - DISTRICT 2 DST 2,,REP,JOHN C. RUSSELL,307,307,0,0
Greene,0005 4-AB,COMMISSIONER - DISTRICT 2 DST 2,,DEM,SARA LAMPE,516,516,0,0
Greene,0005 4-AB,COMMISSIONER - DISTRICT 2 DST 2,,LIB,CECIL A. INCE,33,33,0,0
Greene,0005 4-AB,SHERIFF GREENE,,REP,JIM C ARNOTT,630,630,0,0
Greene,0005 4-AB,ASSESSOR GREENE,,REP,BRENT JOHNSON,636,636,0,0
Greene,0005 4-AB,TREASURER GREENE,,REP,JUSTIN HILL,633,633,0,0
Greene,0005 4-AB,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,621,621,0,0
Greene,0005 4-AB,Constitutional Amendment No. 1,,,Yes,394,394,0,0
Greene,0005 4-AB,Constitutional Amendment No. 1,,,No.,431,431,0,0
Greene,0005 4-AB,Constitutional Amendment No. 3,,,Yes,313,313,0,0
Greene,0005 4-AB,Constitutional Amendment No. 3,,,No.,519,519,0,0
Greene,0005 4-AB,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,555,555,0,0
Greene,0005 4-AB,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,187,187,0,0
Greene,0005 4-AB,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,502,502,0,0
Greene,0005 4-AB,"Court of Appeals Judge, Southern District - Gary W.",,,No.,234,234,0,0
Greene,0005 4-AB,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,495,495,0,0
Greene,0005 4-AB,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,232,232,0,0
Greene,0005 4-AB,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,559,559,0,0
Greene,0005 4-AB,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,175,175,0,0
Greene,0005 4-AB,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,532,532,0,0
Greene,0005 4-AB,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,203,203,0,0
Greene,0005 4-AB,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,518,518,0,0
Greene,0006 5-A/6-A,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,487,487,0,0
Greene,0006 5-A/6-A,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,484,484,0,0
Greene,0006 5-A/6-A,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,31,31,0,0
Greene,0006 5-A/6-A,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,6,6,0,0
Greene,0006 5-A/6-A,President,,CST,DON BLANKENSHIP WILLIAM MOHR,2,2,0,0
Greene,0006 5-A/6-A,Governor,,REP,MIKE PARSON,467,467,0,0
Greene,0006 5-A/6-A,Governor,,DEM,NICOLE GALLOWAY,492,492,0,0
Greene,0006 5-A/6-A,Governor,,LIB,RIK COMBS,38,38,0,0
Greene,0006 5-A/6-A,Governor,,GRN,JEROME HOWARD BAUER,7,7,0,0
Greene,0006 5-A/6-A,Lieutenant Governor,,REP,MIKE KEHOE,481,481,0,0
Greene,0006 5-A/6-A,Lieutenant Governor,,DEM,ALISSIA CANADY,453,453,0,0
Greene,0006 5-A/6-A,Lieutenant Governor,,LIB,BILL SLANTZ,33,33,0,0
Greene,0006 5-A/6-A,Lieutenant Governor,,GRN,KELLEY DRAGOO,19,19,0,0
Greene,0006 5-A/6-A,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,498,498,0,0
Greene,0006 5-A/6-A,Secretary of State,,DEM,YINKA FALETI,440,440,0,0
Greene,0006 5-A/6-A,Secretary of State,,LIB,CARL HERMAN FREESE,38,38,0,0
Greene,0006 5-A/6-A,Secretary of State,,GRN,PAUL LEHMANN,11,11,0,0
Greene,0006 5-A/6-A,Secretary of State,,CST,PAUL VENABLE,2,2,0,0
Greene,0006 5-A/6-A,State Treasurer,,REP,SCOTT FITZPATRICK,498,498,0,0
Greene,0006 5-A/6-A,State Treasurer,,DEM,VICKI LORENZ ENGLUND,433,433,0,0
Greene,0006 5-A/6-A,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,37,37,0,0
Greene,0006 5-A/6-A,State Treasurer,,GRN,JOSEPH CIVETTINI,14,14,0,0
Greene,0006 5-A/6-A,Attorney General,,REP,ERIC SCHMITT,502,502,0,0
Greene,0006 5-A/6-A,Attorney General,,DEM,RICH FINNERAN,433,433,0,0
Greene,0006 5-A/6-A,Attorney General,,LIB,KEVIN C BABCOCK,49,49,0,0
Greene,0006 5-A/6-A,U.S. House,7,REP,BILLY LONG,461,461,0,0
Greene,0006 5-A/6-A,U.S. House,7,DEM,TERESA MONTSENY,457,457,0,0
Greene,0006 5-A/6-A,U.S. House,7,LIB,KEVIN CRAIG,58,58,0,0
Greene,0006 5-A/6-A,State House,134,REP,ALEX RILEY,511,511,0,0
Greene,0006 5-A/6-A,State House,134,DEM,DERRICK NOWLIN,466,466,0,0
Greene,0006 5-A/6-A,COMMISSIONER - DISTRICT 1 DST 1,,REP,RUSTY MACLACHLAN,514,514,0,0
Greene,0006 5-A/6-A,COMMISSIONER - DISTRICT 1 DST 1,,DEM,WES ZONGKER,451,451,0,0
Greene,0006 5-A/6-A,SHERIFF GREENE,,REP,JIM C ARNOTT,767,767,0,0
